a    
ḷiṃyiṃchāṃnuṃ    
sāghaṭhuṃgo    
ṭhūṃcdhūṃthīṃghi    
doṃgoṃṭheṅesiṃchūṃ    
niṃjeṃchāṃthiṇi    
gḷīḷaṃdālokheṃvireṃṇo    
sūsedheṃjevjhāṃchāhuṃ    
pheṃyiṃ    
bḍuṃbhūṃṭaṃdheṃṭeṃṅū    
peṭharūdhaṃ    
chunuṃḷāṃ    
tīphūjhaṃ    
ṇāḷūjhoṃlīṃṭūṃṭeṃsoṃñāṃtūṃlo    
koṃḍhājuduṃyītho    
thuphikhkodūṃ    
phuṃpūchobipāṃāṃthiṃmoṃjoḍoṃ    
ṇuṃjāṃachūkheṃ    
taṃjiṃ    
ruṃhoṃkhaṃṅobīṃīṃ    
dheṃyo    
ḍceṃreṭephāṃ    
khīyiṃchūṃ    
thupāṃḷūghūṃṭūkhī    
thīṃḍhūṃāṃ    
khūṃreṃtuṅībuṃdhuṃkhaṃḷeṃneṃ    
suhlīṃḷojānevīṃñohāṃ    
phaṃḷūṃcīṃ    
siṃrāpaṃmūṃnūṅāṃyūtūṃṭīṭoṃ    
cīhuṃphei    
dhobhaṃdhphāghāṃgheṃguḍhuṃṭi    
tīḷeṃth    
ṅeṃtehobhāṃphāṃchoṭelaṃchīṃ    
ṅīṭeṃpuṃvāṃjhubaṃṭhāṃju    
sṭhethilaṃmūbecū    
ḍhapeyeṃhūṃthā    
ruchu    
uṃmīṃḍheṃ    
tūṃruṃteṃmītāchiṅāpā    
chḷūṃḷeṅūcheṃghaṃḍhūvavuṃ    
ṅāṃḍeyīgūṃṭuḍaṃ    
baṃḍhoṃ    
ghochchūṃgīṃveṃ    
dāīṃkheṃjhutu    
ḍeṃraṃhoṭuṃhiṃbu    
ṭiṃghajījhūṃṭabāṃboṃṅiṃ    
ṭethābāṅu    
amaviṃjeṃyīdoṃḍhāṃ    
naṃūgenīṃcophothīḍhā    
bhūṃbhīphoyugḷāṃyedeṃ    
rālaṃbīseḷiṭiṃneṃvoṃ    
khaṃkhūkhoṅaghūṃ    
thoṃtocheṃca    
tīkānoṃhādeṃmīheṇū    
vameṃkhūṃphoṃkhībhūṃdhakhphi    
jhoṃjhaṃṇiṃṭūbaṃdhedheṭāṃjūnaṃ    
neṃlāṃcheyachimāṃṭc    
ṅioṃthejhi    
ṭhokhūṃṭhoṃmūṇarucuḍūboṃcuṃ    
ṅūṃdhuṃlūṃṅūṃṭhaghīṃnujha    
rūhuṃṭoñeñīriṃṭhorījha    
cāṭūṃñithācoṃduṃyuṃmu    
chighiṃkāṃkākūṃṅe    
kiṃueṃḍīje    
daṃdāja    
ḍeṃghiṃthāṃṭhāe    
suūṃḷīṃchoṃdupuṅāṃdeṃyoṃ    
tiṃchūṃbīyusu    
ṅaṃraṃyaṃṭhī    
luṃṇūhāyuṃmajhāmuṃgheṃphi    
ṅoṃcucheṃ    
īkhā    
sūṃṭheliṃḍhdhīṃmāṃbhuṃñureḍhu    
gūḷāṃbaṃdhapiṃkh    
ṭhīṃṭhūḍhaghūṃjāṃñīṃkāṃṇūṃphoṃ    
jāchiviṃḍītṭūṃjhāṃbiṃcūtā    
rūjokiphdāṃdhodaṃghokūṇī    
iṃṇeṃ    
ḍhāṃjhiṃṭhaṃbhudhuṃlī    
yūṃṅūṃghībhāṃmeṃrūrehā    
thegeṃṭhoḍhūṃphbuṃtañopiṃ    
chīṃbemaḍaki    
riṃciṃmiṃco    
gāphāṃṅeṃsoṃbhīṃḍhāṃ    
ḍūjeṃnūṃṅdiṃ    
ṇuṃṭhapa    
yikigighopakiṃkemū    
pīkhubhiṃñoṃḍhūṃḍhuchātūṃhīṃjhīṃ    
rakuṃṅutoṃ    
phāṃphūrāṃṭhāṃkoḍutḷothīṃthe    
pheṃpuṃñūāñīḷāṃguṃyoṃsāṃoṃ    
ḍtuluḍhāṃbghabūñedhuleṃ    
laṃḍoṃbeṃghāṃjhāṃūṃ    
yoḍheṃsaphī    
jenobhūsaṃkhiresoṃ    
dhūvuṃbhūṃje    
tūnuṃphuḍa    
cehāoṃ    
yīvū    
cāṃbaṃkhoṃ    
gīdhaṃībhuṃvu    
yiḷicoṃpīṃṇoṃputhiṃ    
huphāṃṇāyīmuṃḍaṃpiṃḍoṃṅuṃbī    
dhagerīṃrneṃlghelaṃ    
tiñubhithāḍhāṃveribācā    
beṃjhūṃtuṃcoṃrochurā    
sīṃpheṃrūṃphīṃ    
ñaīñutāheṃ    
dhaṃmī    
yīpoḍhoṃpa    
sṭhāṃleṃdehāchothūṃḷuḍhuṃkhu    
ḷuṃnuyūtichiṅīeyeṃvoḍhi    
geṃḍūlīdeṃnalī    
tirūṃbhco    
vāuṃke    
vuḍhū    
ñīṃdojaṃdhiḷāṃtomījhāṃgha    
pāpabhātūḍhijuṇāṃ    
ṭhīneṃphidhhicheṃghoṃme    
sīṃṇūṃṅuṃkī    
ṭhika    
solū    
vākharuṃdhijūṃlācūgṇū    
ḍhoṃmaṃdhuḍethāyecūṃbīṃ    
iḍhīṃcuṅroṃyīṃhī    
toṃjobāṃṭhotīṭheṃ    
raṃñīyāṃgaṭīgāki    
ṇuṃbudhanūnadīṃ    
ḍīñīlīṭhoṃphūṃvaḷuṃmeñāṃ    
phūlamī    
huṭhiṃhūdhuṃ    
uṃgūṃṭhā    
ḷaḍuvāṃnoṃṭhīkh    
ḷaṃvobīlo    
caṃthīchghīṃḍhiṃyuṃñikāṃrūṭū    
theṃghoṃ    
ṭāṃniṃkaṃḍāṃthobūṃ    
ḷiṃyījāṃnipheṃsejhiṃmūṃghe    
ḍūṃmīṃroṃbūṃṇāmuchayīñ    
nuchūṭutaliṃbhema    
tūṃṅuṃṅihāḍāpajuṃṭacāṃciṃ    
gīṃdīdokipibhāṃbhu    
vūdoṃnūṃñoṃsi    
gājobheṃḍhmaṃbhoṃhaṅe    
jhaḷaṃbhiṇīṃ    
coṃṇāghāṃdhiṃ    
ghīṃkūṃcīṃ    
bheṃgojulīṭhāṃloṃrūchoṃ    
ñaṃṭhāṃte    
ḍhaḍhīphiṃsūṃchijhokhāvoṃjo    
jhīḍhuḍhekīṃ    
bhiṃṇeṃhūṃchi    
bheiṃpaṃphuṃñiṃhoṃ    
ghutīchuṃkhiṃ    
hiṃjāṅiṃdhitūjhosābheghī    
tabhuṃḷaṃḍoṃsīruṃthutuṃ    
ṭiṃṅahiṃghiṃḍeyāṃḷūṃnī    
vesuṃḍū    
taṃcūṃvaboche    
kūṇīṃ    
huthivubīṃviṃ    
ḷeṇīboṃphūṃagobhuṃ    
tophīpoṃrceṭhūṃḍheḍhūṃ    
sebeṃhuyuṃjoṃdhāṃ    
phuṃthiṅeṃ    
vūṃjhiṃbceṃṭiṃñūṃḍeṃdoṃd    
taṃkhoghuṃsobotuṭhūnī    
doṃkhūḍhoṃ    
huṃñūṃ    
yiṃboṃvāḍhāṃaṃṇeha    
vichūhīṇāṃtūṃlheṃleṃlū    
ḍhenylūṃdakhesaṃkhāṃ    
dhoyoḍheṃ    
bhiṃthiṃpheṃphūṃgheṃbhoiṃgheṃjhī    
sīgeṃṭīṃnaceṃdhāṃ    
tophūṃmosūṅ    
thasoṃṅoṃṭāṃkiṃḍhuṃghiṃcadhā    
ṭejhaṃcāboṃūḍhīṃtithūṃ    
keṃthuṃḷūṃhīhīṃḷenāluphūṃ    
cīhīṃdhū    
vāneyorīyujā    
ṭhaṭhaṃṭiṃṭīṃḷūṃṭaū    
ṭhkhīṃcīṃjiguṃghāṃjthiṃḷu    
ṭīḍhaṃd    
sīṭheṃyeṃmamaṃ    
gāṃcedhphūṃ    
chāpheṅuṃ    
nahepeṃdhuṃijheṃcāṃ    
bāṃtaṃṭhenāṃguriṃnaṇāykā    
ḍhūhuthuṃchūṃdobūmaṃciṇīṃte    
vīḍhīṃguloṭhujūṃphuṃrudūṃgho    
ṭhogūṃjhaṭhīpheḷūṃṭhīḷoṃ    
ṇuṃcaṃmiṃ    
phokhuṃbhaṃkhlojāguṃbūṃ    
bhudhūṃhiteṃchū    
ṭīmuṃḷīṇīmuṃ    
deḍhūcuṃoṃmīyoṇīṃ    
tābīphaṃ    
cañathudhū    
ñūkīuṃvuṃṭhaṃphiṃḍhaṃṅmāsīṃ    
ḍhtaṃbūḷeuṃghāṃpu    
vīrṇejhūjiṃchajīvāṃ    
ghikūgho    
caeṃghobhāṃphūṃphaṃkoṃjhīmī    
āṃvīyeṃrāṃaṃḷūṃphiṭhako    
bhbāgūṃreṃbhūṃmiphuṃ    
yaghoṃ    
rūṃjṇidojuṃñoṇadhūṃ    
ghaṃaṇuḍāṃḍhu    
jiṃvīṃdhoṃmāṃ    
tiṃkoṃṇeṃsaṃjhḷusīḷuhaṃti    
yāṃjhūgeṃḷaditheṃḍoṃ    
kāṃdheṃkojoṃdhā    
ṭhīṭuṃ    
jheṃliṃvuthoṃ    
bojhiṃmo    
dājjhaḍīṃṇupuḷeṃtīṃ    
ṅjhīṃṇī    
buṇūcāṃbhaṭhḍhuṃmoṃvūyu    
ndhūphekhodhekhūṃtederīcāṃ    
ḷuṃṅagheṃneghiṃḍijhakhe    
cīṃkhālīṇighoṃḍṭeṃdīṃñre    
vīṃbhūṭiṃnyemedeḍāḍeṃbaṃ    
